5527901,424,424,120,3,0,0
5527901,427,427,118,4,0,0
5527901,430,430,116,5,0,0
5527901,434,434,115,6,0,0
5527901,438,438,114,7,0,0
5527901,444,444,112,8,0,0
5527901,447,447,111,9,0,0
5527901,451,451,110,10,0,0
5527901,455,455,108,11,0,0
5527901,458,458,106,12,0,0
5527901,461,461,105,13,0,0
5527901,472,472,56,14,1,0
5527901,483,483,4,15,1,0
5527901,496,496,1,16,0,0
5527903,451,451,115,1,0,0
5527903,455,455,114,2,0,0
5527903,501,501,1,3,0,0
5527905,446,446,124,1,0,0
5527905,449,449,121,2,0,0
5527905,452,452,120,3,0,0
5527905,455,455,118,4,0,0
5527905,459,459,116,5,0,0
5527905,507,507,1,6,0,0
5527907,475,475,112,1,0,0
5527907,479,479,111,2,0,0
5527907,483,483,110,3,0,0
5527907,522,522,1,4,0,0
5527910,462,462,124,1,0,0
5527910,470,470,116,2,0,0
5527910,474,474,115,3,0,0
5527910,478,478,114,4,0,0
5527910,482,482,112,5,0,0
5527910,512,512,4,6,1,0
5527910,525,525,1,7,0,0
5527912,475,475,124,1,0,0
5527912,477,477,121,2,0,0
5527912,480,480,120,3,0,0
5527912,483,483,118,4,0,0
5527912,486,486,116,5,0,0
5527912,490,490,115,6,0,0
5527912,493,493,114,7,0,0
5527912,497,497,112,8,0,0
5527912,517,517,56,9,1,0
5527912,542,542,1,10,0,0
5527914,488,488,124,1,0,0
5527914,490,490,121,2,0,0
5527914,492,492,120,3,0,0
5527914,495,495,118,4,0,0
5527914,498,498,116,5,0,0
5527914,502,502,115,6,0,0
5527914,505,505,114,7,0,0
5527914,509,509,112,8,0,0
5527914,512,512,111,9,0,0
5527914,515,515,110,10,0,0
5527914,519,519,108,11,0,0
5527914,522,522,106,12,0,0
5527914,525,525,105,13,0,0
5527914,535,535,56,14,1,0
5527914,547,547,4,15,1,0
5527914,560,560,1,16,0,0
5527917,533,533,124,1,0,0
5527917,535,535,121,2,0,0
5527917,538,538,120,3,0,0
5527917,540,540,118,4,0,0
5527917,543,543,116,5,0,0
5527917,547,547,115,6,0,0
5527917,550,550,114,7,0,0
5527917,554,554,112,8,0,0
5527917,593,593,1,9,0,0
5527919,570,570,124,1,0,0
5527919,572,572,121,2,0,0
5527919,574,574,120,3,0,0
5527919,576,576,118,4,0,0
5527919,579,579,116,5,0,0
5527919,583,583,115,6,0,0
5527919,586,586,114,7,0,0
5527919,590,590,112,8,0,0
5527919,593,593,111,9,0,0
5527919,596,596,110,10,0,0
5527919,600,600,108,11,0,0
5527919,603,603,106,12,0,0
5527919,606,606,105,13,0,0
5527919,616,616,56,14,1,0
5527919,628,628,4,15,1,0
5527919,639,639,1,16,0,0
5527922,602,602,124,1,0,0
5527922,609,609,116,2,0,0
5527922,613,613,115,3,0,0
5527922,616,616,114,4,0,0
5527922,620,620,112,5,0,0
5527922,623,623,111,6,0,0
5527922,626,626,110,7,0,0
5527922,630,630,108,8,0,0
5527922,633,633,106,9,0,0
5527922,636,636,105,10,0,0
5527922,646,646,56,11,1,0
5527922,657,657,4,12,1,0
5527922,668,668,1,13,0,0
5527923,630,630,124,1,0,0
5527923,632,632,121,2,0,0
5527923,634,634,120,3,0,0
5527923,636,636,118,4,0,0
5527923,639,639,116,5,0,0
5527923,643,643,115,6,0,0
5527923,646,646,114,7,0,0
5527923,650,650,112,8,0,0
5527923,653,653,111,9,0,0
5527923,656,656,110,10,0,0
5527923,660,660,108,11,0,0
5527923,663,663,106,12,0,0
5527923,666,666,105,13,0,0
5527923,676,676,56,14,1,0
5527923,687,687,4,15,1,0
5527923,698,698,1,16,0,0
5527924,660,660,124,1,0,0
5527924,662,662,121,2,0,0
5527924,664,664,120,3,0,0
5527924,666,666,118,4,0,0
5527924,669,669,116,5,0,0
5527924,673,673,115,6,0,0
5527924,676,676,114,7,0,0
5527924,680,680,112,8,0,0
5527924,683,683,111,9,0,0
5527924,686,686,110,10,0,0
5527924,690,690,108,11,0,0
5527924,693,693,106,12,0,0
5527924,696,696,105,13,0,0
5527924,706,706,56,14,1,0
5527924,717,717,4,15,1,0
5527924,728,728,1,16,0,0
5527926,690,690,124,1,0,0
5527926,692,692,121,2,0,0
5527926,694,694,120,3,0,0
5527926,696,696,118,4,0,0
5527926,699,699,116,5,0,0
5527926,703,703,115,6,0,0
