3,20131110,2
4,20131110,2
5,20131110,2
3539,20131110,1
4,20131109,2
6,20131109,2
3544,20131109,1
1,20131108,2
2,20131108,2
3548,20131108,1
1,20131105,2
1,20131106,2
1,20131107,2
3556,20131105,1
3556,20131106,1
3556,20131107,1
1,20131104,2
3,20131104,2
3557,20131104,1
3,20131103,2
4,20131103,2
5,20131103,2
3558,20131103,1
1,20130830,2
2,20130830,2
3838,20130830,1
1,20130902,2
3,20130902,2
3839,20130902,1
4,20130831,2
6,20130831,2
3841,20130831,1
1,20130821,2
1,20130904,2
1,20130905,2
1,20130925,2
1,20130926,2
3860,20130821,1
3860,20130904,1
3860,20130905,1
3860,20130925,1
3860,20130926,1
1,20130820,2
1,20130903,2
1,20130924,2
3861,20130820,1
3861,20130903,1
3861,20130924,1
1,20130822,2
3862,20130822,1
